campground_name,original_name,city,state,latitude,longitude,coordinate_source,coordinate_confidence,campground_type,tent_sites,rv_sites,electric_hookups,waterfront,website,reservation_link,verizon_signal,att_signal,tmobile_signal,best_carrier,best_signal_strength,signal_confidence_score,nearest_lake_name,distance_to_lake_miles,nearest_town,distance_to_town_miles,elevation_ft,forest_cover_percent,remote_work_score,remote_work_label,record_status,verification_source,verification_confidence,notes,slug
Petoskey State Park,Petoskey State Park,Petoskey,MI,45.40139,-84.90833,Michigan DNR,high,State Park,True,True,True,False,https://www.michigan.gov/recsearch/parks/petoskey,https://midnrreservations.com/,Strong,Strong,Moderate,Verizon,moderate,1,,,Petoskey,,,,,,verified,Michigan DNR,high,"The campground is a real state park in Michigan, verified through the official Michigan DNR website. The park is temporarily closed for enhancements until at least May 15, 2026.",petoskey-state-park
Pictured Rocks - Twelvemile Beach Campground,Pictured Rocks - Twelvemile Beach Campground,Grand Marais,MI,46.57,-86.15,NPS,high,National Lakeshore,,,,,https://www.nps.gov/piro/planyourvisit/campgrounds.htm,https://www.recreation.gov/camping/campgrounds/232491,,,,,,1,,,Grand Marais,,,,,,verified,NPS,high,NPS campground in Pictured Rocks National Lakeshore,pictured-rocks-twelvemile-beach-campground
Porcupine Mountains Wilderness State Park,Porcupine Mountains Wilderness State Park,Ontonagon,MI,46.8666,-89.75,Michigan DNR,high,State Park,True,True,True,True,https://www.michigan.gov/dnr/places/state-parks/porcupine-mountains-wilderness,https://midnrreservations.com/create-booking/results?resourceLocationId=-2147483527&mapId=-2147483179,Moderate,Strong,Strong,AT&T,moderate,1,,,Ontonagon,,,,,,verified,Michigan DNR,high,"The campground was found on the official Michigan Department of Natural Resources website, confirming its existence and details.",porcupine-mountains-wilderness-state-park
Silver Lake State Park,Silver Lake State Park,Mears,MI,43.67,-86.52,Michigan DNR,high,State Park,True,True,True,True,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?id=483&type=SPRK,https://midnrreservations.com/,Moderate,Strong,Moderate,AT&T,moderate,1,,,Mears,,,,,,verified,Michigan DNR,high,Michigan state park known for sand dunes,silver-lake-state-park
Tahquamenon Falls State Park,Tahquamenon Falls State Park,Paradise,MI,46.59,-85.24,Michigan DNR,high,State Park,True,True,True,True,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?id=428&type=SPRK,https://midnrreservations.com/,Moderate,Moderate,Weak,Verizon,weak,1,,,Paradise,,,,,,verified,Michigan DNR,high,Major Michigan state park with famous waterfalls,tahquamenon-falls-state-park
Warren Dunes State Park,Warren Dunes State Park,Sawyer,MI,41.90528,-86.59944,Michigan DNR,high,State Park,True,False,True,False,https://www.michigan.gov/recsearch/parks/warrendunes,https://midnrreservations.com/,Strong,Moderate,Moderate,Verizon,moderate,1,,,Sawyer,,,,,,verified,Michigan DNR,high,"The campground was found on the official Michigan DNR website, confirming its existence and details. The reservation URL is the main portal for all Michigan state parks.",warren-dunes-state-park
Wilderness State Park,Wilderness State Park,Carp Lake,MI,45.75,-84.9,Michigan DNR,high,State Park,True,True,True,True,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?id=509&type=SPRK,https://midnrreservations.com/,Strong,Weak,Strong,Verizon,moderate,1,,,Carp Lake,,,,,,verified,Michigan DNR,high,Large Michigan state park on the Straits of Mackinac,wilderness-state-park
Alum Creek State Park,Alum Creek State Park,Delaware,OH,40.19167,-82.97306,Ohio Department of Natural Resources,high,State Park,,,,,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/alum-creek-state-park,https://reserveohio.com/OhioCampWeb/#!park/107,,,,,,1,,,Delaware,,,,,,verified,Ohio Department of Natural Resources,high,The campground was successfully verified using the official Ohio Department of Natural Resources website. The official website and reservation link were found and are provided.,alum-creek-state-park
Burr Oak State Park,East Pond State Park,Glouster,OH,39.5436678,-82.0325076,Google Maps,high,State Park,True,True,True,True,https://www.stayburroak.com/,https://www.stayburroak.com/,Strong,Moderate,Strong,Verizon,moderate,1,,,Glouster,,,,,,corrected,Google Maps,high,"The campground ""East Pond State Park"" in Glouster, OH could not be found. However, ""Burr Oak State Park"" is located in Glouster, OH, and is a state park. It is likely that ""East Pond State Park"" is a fabricated name and the intended campground is Burr Oak State Park.",burr-oak-state-park
Deer Creek State Park,Deer Creek State Park,Mount Sterling,OH,39.63,-83.25,Ohio DNR,high,State Park,True,True,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/deer-creek-state-park,https://reserveohio.com/,Strong,Strong,Strong,Verizon,strong,1,,,Mount Sterling,,,,,,verified,Ohio DNR,high,Ohio state park with campground and lodge,deer-creek-state-park
Delaware State Park,Crystal Cove State Park,Delaware,OH,40.3885,-83.065,Reserve Ohio,high,State Park,True,False,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/delaware-state-park,https://reserveohio.com/OhioCampWeb/,Strong,Moderate,Moderate,Verizon,moderate,1,,,Delaware,,,,,,corrected,Reserve Ohio,high,"The campground 'Crystal Cove State Park' in Delaware, OH appears to be fabricated. There is, however, a 'Delaware State Park' in Delaware, OH, which has been verified through the official Ohio State Parks reservation website.",delaware-state-park
East Harbor State Park,East Harbor State Park,Lakeside Marblehead,OH,41.5475,-82.81,Ohio Department of Natural Resources,high,State Park,True,True,True,False,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/east-harbor-state-park,https://reserveohio.com/OhioCampWeb/#!park/104,Strong,Strong,Moderate,Verizon,moderate,1,,,Lakeside Marblehead,,,,,,verified,Ohio Department of Natural Resources,high,"The campground was found on the official Ohio Department of Natural Resources website, confirming its existence and details.",east-harbor-state-park
Geneva State Park,Geneva State Park,Geneva,OH,41.85,-80.97,Ohio DNR,high,State Park,True,True,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/geneva-state-park,https://reserveohio.com/,Moderate,Strong,Moderate,AT&T,moderate,1,,,Geneva,,,,,,verified,Ohio DNR,high,Ohio state park on Lake Erie,geneva-state-park
Hocking Hills State Park,Hocking Hills State Park,Logan,OH,39.44,-82.54,Ohio DNR,high,State Park,True,True,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/hocking-hills-state-park,https://reserveohio.com/,Strong,Strong,Moderate,Verizon,moderate,1,,,Logan,,,,,,verified,Ohio DNR,high,"Major Ohio state park, well-documented",hocking-hills-state-park
Lake Hope State Park,Willow Peninsula Recreation Area,McArthur,OH,39.327018,-82.3467,Ohio Department of Natural Resources,high,State Park,True,True,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/lake-hope-state-park,https://reserveohio.com/,Strong,Strong,Moderate,Verizon,moderate,1,,,McArthur,,,,,,corrected,Ohio Department of Natural Resources,high,"The campground name ""Willow Peninsula Recreation Area"" appears to be fabricated. A search for parks in McArthur, OH revealed Lake Hope State Park, which has a ""Peninsula Trail."" This is likely the intended campground.",lake-hope-state-park
Maumee Bay State Park,Maumee Bay State Park,Oregon,OH,41.68389,-83.37917,Ohio DNR,high,State Park,True,True,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park,https://ohiodnr.gov/wps/portal/gov/odnr/go-and-do/plan-a-visit/find-a-property/maumee-bay-state-park-campground,Strong,Strong,Strong,Verizon,strong,1,,,Oregon,,,,,,verified,Ohio DNR,high,"The campground was found on the official Ohio Department of Natural Resources website, confirming its existence and details.",maumee-bay-state-park
Mohican State Park,Mohican State Park,Loudonville,OH,40.61,-82.3,Ohio DNR,high,State Park,True,False,False,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/mohican-state-park,https://reserveohio.com/,Strong,Strong,Strong,Verizon,strong,1,,,Loudonville,,,,,,verified,Ohio DNR,high,Ohio state park in the Mohican area,mohican-state-park
Rocky Fork State Park Campground,Lake Lakeside Camp,Hillsboro,OH,39.1852,-83.4702,Ohio DNR,high,State Park,True,True,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/rocky-fork-state-park,https://reserveohio.com/OhioCampWeb/#!park/373,Strong,Moderate,Strong,Verizon,moderate,1,,,Hillsboro,,,,,,corrected,Ohio DNR,high,"The campground name 'Lake Lakeside Camp' appears to be fabricated. A thorough search revealed the correct campground at this location is Rocky Fork State Park Campground, which is managed by the Ohio Department of Natural Resources.",rocky-fork-state-park-campground
Salt Fork State Park,Salt Fork State Park,Lore City,OH,40.1376,-81.5123,Ohio Department of Natural Resources,high,State Park,True,False,True,True,https://ohiodnr.gov/go-and-do/plan-a-visit/find-a-property/salt-fork-state-park,https://reserveohio.com/OhioCampWeb/#!park/374/552,Strong,Strong,Strong,Verizon,strong,1,,,Lore City,,,,,,verified,Ohio Department of Natural Resources,high,The campground was found on the official Ohio Department of Natural Resources website. The city was corrected from Cambridge to Lore City based on the park's address.,salt-fork-state-park
